id,coordinates
2,"(10.804973, 78.6870296)"
3,"(12.3793208, -1.522283)"
4,"(53.92415990000001, -0.7691512452604752)"
5,"(24.7736546, -78.0000547)"
6,
7,"(42.6384261, 12.674297)"
8,"(50.938361, 6.959974)"
10,"(35.0525759, -78.878292)"
11,"(40.6022059, -75.4712794)"
12,"(42.3750997, -71.1056157)"
14,
15,"(54.7023545, -3.2765753)"
16,"(34.2331373, -102.4107493)"
17,"(53.3497645, -6.2602732)"
18,"(6.4550575, 3.3941795)"
19,"(41.704567749999995, -86.23822026017265)"
24,"(40.6938609, -89.5891008)"
25,"(37.5726028, -85.1551411)"
26,
28,"(43.3804335, -2.5848533)"
29,"(28.6141793, 77.2022662)"
31,"(45.0677551, 7.6824892)"
32,"(51.5073219, -0.1276474)"
33,"(23.7593572, 90.3788136)"
34,"(51.5097754, -1.5311125)"
36,"(31.4331663, 34.3779285)"
37,"(51.3713049, -0.101957)"
39,"(28.5695186, -81.544117)"
40,"(5.8101532, 0.0995242)"
44,"(43.2069025, 27.9150855)"
45,"(7.5554942, 80.7137847)"
46,"(19.1399952, -72.3570972)"
47,"(9.6000359, 7.9999721)"
48,"(39.7837304, -100.4458825)"
51,"(9.6000359, 7.9999721)"
54,"(26.1223084, -80.1433786)"
55,"(28.5421109, -81.3790304)"
56,
57,"(40.7127281, -74.0060152)"
60,"(53.5120412, -2.2434612)"
61,"(53.4794892, -2.2451148)"
62,"(-25.7459374, 28.1879444)"
64,"(43.998274, 12.6474368)"
65,
66,"(22.3511148, 78.6677428)"
67,"(9.6187093, 6.5475752)"
68,"(41.6362152, -70.934205)"
69,"(10.9094334, 78.3665347)"
71,"(14.6509905, 121.0486155)"
72,"(12.8831063, 77.7501677)"
73,"(0.3177137, 32.5813539)"
74,"(40.7127281, -74.0060152)"
75,"(54.7023545, -3.2765753)"
77,"(43.157285, -77.615214)"
78,"(11.0018115, 76.9628425)"
79,
80,"(35.000074, 104.999927)"
81,"(32.4334742, -97.1025077)"
82,"(-37.8142176, 144.9631608)"
83,
86,"(26.916194, 75.820349)"
88,"(10.3303299, 78.0673979084697)"
89,"(22.3511148, 78.6677428)"
90,"(40.7127281, -74.0060152)"
91,"(41.1519319, -74.0357266)"
92,"(56.4605938, -2.97019)"
93,"(46.9599823, 22.0541733)"
