bigram,freq
"('preference', 'preference')",402
"('jungkook', 'cover')",392
"('stay', 'home')",276
"('nepa', 'wife')",112
"('fault', 'nepa')",111
"('kate', 'please')",106
"('home', 'forever')",106
"('self', 'isolation')",88
"('hotel', 'room')",69
"('good', 'morning')",68
"('social', 'distancing')",67
"('iphone', 'malu')",65
"('room', 'freaking')",65
"('sis', 'donot')",65
"('sikit', 'orang')",65
"('orang', 'tengok')",65
"('rock', 'listen')",60
"('radio', 'rock')",60
"('rock', 'radio')",60
"('social', 'media')",59
"('everyone', 'preference')",57
"('amp', 'retweet')",56
"('full', 'video')",55
"('preference', 'jungkook')",52
"('ball', 'cou')",50
"('sunday', 'ball')",50
"('sunday', 'sunday')",50
"('friday', 'sunday')",50
"('freestyle', 'friday')",50
"('wan', 'na')",49
"('check', 'youtube')",48
"('paypal', 'cashapp')",48
"('retweet', 'paypal')",48
"('due', 'ill')",48
"('covid', 'ht')",47
"('chaos', 'oppounity')",47
"('lee', 'hi')",47
"('midst', 'chaos')",47
"('hi', 'check')",47
"('preference', 'day')",45
"('link', 'bio')",45
"('things', 'discover')",45
"('sight', 'doctors')",43
"('civil', 'hospital')",43
"('work', 'home')",42
"('bittersweet', 'poetry')",42
"('poetry', 'pa')",42
"('pa', 'xlvii')",42
"('preference', 'quaranotine')",41
"('home', 'stay')",41
"('quaranotine', 'preference')",40
"('people', 'house')",38
"('isolation', 'day')",37
"('cashapp', 'appl')",36
"('favorite', 'asan')",36
"('asan', 'wa')",35
"('rest', 'results')",35
"('total', 'people')",34
"('impoanot', 'things')",34
"('govenots', 'updates')",33
"('good', 'time')",33
"('cyberfm', 'spotlight')",32
"('yep', 'cover')",32
"('things', 'world')",32
"('eddie', 'talk')",32
"('accomplished', 'people')",32
"('cover', 'song')",32
"('hot', 'watch')",32
"('kick', 'face')",32
"('media', 'eahquakes')",32
"('quaranotine', 'day')",31
"('corona', 'virus')",31
"('little', 'taco')",29
"('chance', 'win')",29
"('best', 'thing')",29
"('home', 'quaranotine')",27
"('positive', 'cases')",27
"('preference', 'stay')",27
"('happy', 'easter')",27
"('new', 'video')",27
"('conotestanot', 'gill')",26
"('projects', 'projects')",26
"('new', 'cases')",26
"('conotrary', 'repos')",26
"('stuck', 'hotel')",26
"('song', 'fill')",26
"('sensitive', 'als')",25
"('first', 'time')",25
"('time', 'quaranotine')",25
"('real', 'amp')",25
"('amp', 'prayers')",25
"('spend', 'time')",24
"('click', 'link')",24
"('home', 'preference')",24
"('regular', 'stuff')",23
"('last', 'night')",23
"('video', 'post')",23
"('stuff', 'fun')",23
"('best', 'rest')",23
"('rest', 'drawing')",23
"('watch', 'preference')",22
"('fir', 'https')",22
"('hope', 'everyone')",22
"('filling', 'bottles')",22
"('delhi', 'muslims')",22
"('delhi', 'police')",22
"('public', 'delhi')",22
"('video', 'farm')",22
"('major', 'video')",22
"('quaranotine', 'time')",22
"('preference', 'let')",22
"('new', 'york')",21
"('way', 'spend')",21
"('best', 'way')",21
"('cake', 'expectations')",21
"('expectations', 'reality')",21
