id,coordinates,longitude,latitude
2,"[10.804973, 78.6870296]",78.6870296,10.804973
3,"[12.3793208, -1.522283]",-1.522283,12.3793208
4,"[53.92415990000001, -0.7691512452604752]",-0.7691512452604752,53.92415990000001
5,"[24.7736546, -78.0000547]",-78.0000547,24.7736546
6,"[-81.65, 30.33]",-81.65,30.33
7,"[42.6384261, 12.674297]",12.674297,42.6384261
8,"[50.938361, 6.959974]",6.959974,50.938361
10,"[35.0525759, -78.878292]",-78.878292,35.0525759
11,"[-76.8817, 40.2597]",-76.8817,40.2597
12,"[42.3750997, -71.1056157]",-71.1056157,42.3750997
15,"[54.7023545, -3.2765753]",-3.2765753,54.7023545
16,"[34.2331373, -102.4107493]",-102.4107493,34.2331373
17,"[53.3497645, -6.2602732]",-6.2602732,53.3497645
18,"[6.4550575, 3.3941795]",3.3941795,6.4550575
19,"[41.704567749999995, -86.23822026017265]",-86.23822026017265,41.704567749999995
24,"[-89.46587, 40.76683]",-89.46587,40.76683
25,"[37.5726028, -85.1551411]",-85.1551411,37.5726028
28,"[43.3804335, -2.5848533]",-2.5848533,43.3804335
29,"[28.6141793, 77.2022662]",77.2022662,28.6141793
31,"[45.0677551, 7.6824892]",7.6824892,45.0677551
32,"[-0.1494, 51.4578]",-0.1494,51.4578
33,"[23.7593572, 90.3788136]",90.3788136,23.7593572
34,"[51.5097754, -1.5311125]",-1.5311125,51.5097754
36,"[31.4331663, 34.3779285]",34.3779285,31.4331663
37,"[51.3713049, -0.101957]",-0.101957,51.3713049
39,"[28.5695186, -81.544117]",-81.544117,28.5695186
40,"[5.8101532, 0.0995242]",0.0995242,5.8101532
44,"[43.2069025, 27.9150855]",27.9150855,43.2069025
45,"[7.5554942, 80.7137847]",80.7137847,7.5554942
46,"[19.1399952, -72.3570972]",-72.3570972,19.1399952
47,"[9.6000359, 7.9999721]",7.9999721,9.6000359
48,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
51,"[9.6000359, 7.9999721]",7.9999721,9.6000359
54,"[26.1223084, -80.1433786]",-80.1433786,26.1223084
55,"[28.5421109, -81.3790304]",-81.3790304,28.5421109
57,"[40.7127281, -74.0060152]",-74.0060152,40.7127281
60,"[53.5120412, -2.2434612]",-2.2434612,53.5120412
61,"[53.4794892, -2.2451148]",-2.2451148,53.4794892
62,"[-25.7459374, 28.1879444]",28.1879444,-25.7459374
64,"[43.998274, 12.6474368]",12.6474368,43.998274
66,"[22.3511148, 78.6677428]",78.6677428,22.3511148
67,"[9.6187093, 6.5475752]",6.5475752,9.6187093
68,"[41.6362152, -70.934205]",-70.934205,41.6362152
69,"[10.9094334, 78.3665347]",78.3665347,10.9094334
71,"[14.6509905, 121.0486155]",121.0486155,14.6509905
72,"[12.8831063, 77.7501677]",77.7501677,12.8831063
73,"[0.3177137, 32.5813539]",32.5813539,0.3177137
74,"[40.7127281, -74.0060152]",-74.0060152,40.7127281
75,"[54.7023545, -3.2765753]",-3.2765753,54.7023545
77,"[43.157285, -77.615214]",-77.615214,43.157285
78,"[11.0018115, 76.9628425]",76.9628425,11.0018115
80,"[35.000074, 104.999927]",104.999927,35.000074
81,"[32.4334742, -97.1025077]",-97.1025077,32.4334742
82,"[-37.8142176, 144.9631608]",144.9631608,-37.8142176
86,"[26.916194, 75.820349]",75.820349,26.916194
88,"[10.3303299, 78.0673979084697]",78.0673979084697,10.3303299
89,"[22.3511148, 78.6677428]",78.6677428,22.3511148
90,"[40.7127281, -74.0060152]",-74.0060152,40.7127281
91,"[41.1519319, -74.0357266]",-74.0357266,41.1519319
92,"[56.4605938, -2.97019]",-2.97019,56.4605938
93,"[46.9599823, 22.0541733]",22.0541733,46.9599823
97,"[40.4416941, -79.9900861]",-79.9900861,40.4416941
99,"[5.6128149, -0.2755447]",-0.2755447,5.6128149
100,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
101,"[6.698081, -1.6230404]",-1.6230404,6.698081
104,"[27.9477595, -82.458444]",-82.458444,27.9477595
105,"[33.7490987, -84.3901849]",-84.3901849,33.7490987
106,"[51.6726968, -4.7066762]",-4.7066762,51.6726968
107,"[40.7127281, -74.0060152]",-74.0060152,40.7127281
110,"[40.2253569, -82.6881395]",-82.6881395,40.2253569
115,"[43.4415627, -6.0701384]",-6.0701384,43.4415627
116,"[55.9533456, -3.1883749]",-3.1883749,55.9533456
119,"[51.3300079, -0.4120821]",-0.4120821,51.3300079
120,"[25.4381302, 81.8338005]",81.8338005,25.4381302
121,"[38.2910251, -121.31106]",-121.31106,38.2910251
126,"[38.7316375, -82.9965441]",-82.9965441,38.7316375
127,"[30.048819, 31.243666]",31.243666,30.048819
128,"[27.633333, 77.583333]",77.583333,27.633333
130,"[36.5656153, -88.8111679]",-88.8111679,36.5656153
133,"[39.5162234, -76.9382069]",-76.9382069,39.5162234
136,"[39.5162234, -76.9382069]",-76.9382069,39.5162234
137,"[29.7589382, -95.3676974]",-95.3676974,29.7589382
138,"[-1.2832533, 36.8172449]",36.8172449,-1.2832533
140,"[38.8903961, -77.0841585]",-77.0841585,38.8903961
142,"[29.49286595, -98.65656649314555]",-98.65656649314555,29.49286595
143,"[30.3843674, 76.770421]",76.770421,30.3843674
144,"[52.7954791, -0.5402402866174321]",-0.5402402866174321,52.7954791
147,"[56.4605938, -2.97019]",-2.97019,56.4605938
149,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
153,"[42.3602534, -71.0582912]",-71.0582912,42.3602534
154,"[61.0666922, -107.9917071]",-107.9917071,61.0666922
156,"[4.3913173, 113.9870128]",113.9870128,4.3913173
157,"[32.3293809, -83.1137366]",-83.1137366,32.3293809
158,"[6.99209, 3.578559]",3.578559,6.99209
159,"[33.9897279, -118.4622025]",-118.4622025,33.9897279
160,"[1.5333554, 32.2166578]",32.2166578,1.5333554
163,"[-22.1646782, 144.5844903]",144.5844903,-22.1646782
166,"[40.4167047, -3.7035825]",-3.7035825,40.4167047
169,"[30.3308401, 71.247499]",71.247499,30.3308401
170,"[51.5073219, -0.1276474]",-0.1276474,51.5073219
171,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
174,"[34.0536909, -118.2427666]",-118.2427666,34.0536909
176,"[39.0658928, -84.7010576]",-84.7010576,39.0658928
178,"[25.7742658, -80.1936589]",-80.1936589,25.7742658
181,"[36.7014631, -118.7559974]",-118.7559974,36.7014631
182,"[12.3051828, 76.6553609]",76.6553609,12.3051828
185,"[38.7604815, -92.5617875]",-92.5617875,38.7604815
186,"[51.5073219, -0.1276474]",-0.1276474,51.5073219
187,"[18.9387711, 72.8353355]",72.8353355,18.9387711
188,"[8.8870537, 76.5907058]",76.5907058,8.8870537
189,"[51.5073219, -0.1276474]",-0.1276474,51.5073219
191,"[39.5162234, -76.9382069]",-76.9382069,39.5162234
193,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
195,"[18.9387711, 72.8353355]",72.8353355,18.9387711
196,"[50.9295798, 13.4585052]",13.4585052,50.9295798
201,"[31.549333, -97.1466695]",-97.1466695,31.549333
206,"[37.4223414, -81.0161994]",-81.0161994,37.4223414
208,"[38.203065, -97.519207]",-97.519207,38.203065
209,"[17.38878595, 78.46106473453146]",78.46106473453146,17.38878595
210,"[52.215933, 19.134422]",19.134422,52.215933
213,"[43.6166163, -116.200886]",-116.200886,43.6166163
216,"[27.7567667, -81.4639835]",-81.4639835,27.7567667
217,"[52.5170365, 13.3888599]",13.3888599,52.5170365
221,"[35.4515074, -82.2870588]",-82.2870588,35.4515074
222,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
223,"[51.0000002, -109.0000002]",-109.0000002,51.0000002
224,"[53.2164468, -3.1401395293792307]",-3.1401395293792307,53.2164468
225,"[18.9387711, 72.8353355]",72.8353355,18.9387711
226,"[56.8406494, 24.7537645]",24.7537645,56.8406494
227,"[43.157285, -77.615214]",-77.615214,43.157285
228,"[45.806691349999994, 12.206315763116372]",12.206315763116372,45.806691349999994
230,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
231,"[48.8566969, 2.3514616]",2.3514616,48.8566969
232,"[28.5726442, 77.3547609]",77.3547609,28.5726442
233,"[45.4972159, -73.6103642]",-73.6103642,45.4972159
235,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
236,"[49.71733, -123.1039045]",-123.1039045,49.71733
237,"[4.59808, -74.0760439]",-74.0760439,4.59808
238,"[-28.8166236, 24.991639]",24.991639,-28.8166236
239,"[44.7606441, -85.6165301]",-85.6165301,44.7606441
243,"[54.7023545, -3.2765753]",-3.2765753,54.7023545
245,"[39.2908816, -76.610759]",-76.610759,39.2908816
246,"[40.763594, -73.32417291159759]",-73.32417291159759,40.763594
247,"[51.5073219, -0.1276474]",-0.1276474,51.5073219
248,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
249,"[50.8465573, 4.351697]",4.351697,50.8465573
250,"[25.1446897, 67.1847767315734]",67.1847767315734,25.1446897
251,"[40.7720145, -73.9302673]",-73.9302673,40.7720145
254,"[14.598473899999998, 120.98340723885754]",120.98340723885754,14.598473899999998
255,"[41.000028, 19.9999619]",19.9999619,41.000028
256,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
257,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
258,"[28.483576, -82.5338633376176]",-82.5338633376176,28.483576
262,"[53.90628485, -6.532050201271116]",-6.532050201271116,53.90628485
265,"[34.02332, -84.360022]",-84.360022,34.02332
267,"[38.8949855, -77.0365708]",-77.0365708,38.8949855
268,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
269,"[28.6141793, 77.2022662]",77.2022662,28.6141793
270,"[50.000678, -86.000977]",-86.000977,50.000678
271,"[24.4768783, 90.2932426]",90.2932426,24.4768783
273,"[38.7233263, -77.5365669]",-77.5365669,38.7233263
275,"[4.8416028, 6.8604088]",6.8604088,4.8416028
276,"[59.6749712, 14.5208584]",14.5208584,59.6749712
277,"[22.3511148, 78.6677428]",78.6677428,22.3511148
278,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
279,"[36.7014631, -118.7559974]",-118.7559974,36.7014631
281,"[51.5073219, -0.1276474]",-0.1276474,51.5073219
282,"[35.3341782, -97.4879214]",-97.4879214,35.3341782
284,"[12.7503486, 122.7312101]",122.7312101,12.7503486
286,"[45.9896587, -94.6113288]",-94.6113288,45.9896587
287,"[4.5693754, 102.2656823]",102.2656823,4.5693754
288,"[40.126139, -82.9295287]",-82.9295287,40.126139
289,"[17.38878595, 78.46106473453146]",78.46106473453146,17.38878595
291,"[27.633333, 77.583333]",77.583333,27.633333
293,"[50.87174025, -114.16065308800451]",-114.16065308800451,50.87174025
294,"[7.5554942, 80.7137847]",80.7137847,7.5554942
295,"[28.5421109, -81.3790304]",-81.3790304,28.5421109
296,"[51.5073219, -0.1276474]",-0.1276474,51.5073219
297,"[56.7861112, -4.1140518]",-4.1140518,56.7861112
298,"[42.3315509, -83.0466403]",-83.0466403,42.3315509
299,"[33.7490987, -84.3901849]",-84.3901849,33.7490987
301,"[41.5051613, -81.6934446]",-81.6934446,41.5051613
302,"[10.9094334, 78.3665347]",78.3665347,10.9094334
303,"[51.3582945, 7.473296]",7.473296,51.3582945
305,"[24.0510297, 88.23779874587402]",88.23779874587402,24.0510297
308,"[28.9734916, 41.02385287]",28.9734916,41.02385287
310,"[47.0644551, 8.5238673]",8.5238673,47.0644551
312,"[30.3843674, 76.770421]",76.770421,30.3843674
313,"[38.87734145, -77.01181532503409]",-77.01181532503409,38.87734145
316,"[51.5073219, -0.1276474]",-0.1276474,51.5073219
318,"[33.7490987, -84.3901849]",-84.3901849,33.7490987
