id,Predicted Likes
0,"low: (0, 3]"
1,"normal: (3, 26]"
2,"low: (0, 3]"
3,"low: (0, 3]"
4,"low: (0, 3]"
5,"low: (0, 3]"
6,"low: (0, 3]"
7,"low: (0, 3]"
8,"low: (0, 3]"
9,"low: (0, 3]"
10,"low: (0, 3]"
11,"low: (0, 3]"
12,"low: (0, 3]"
13,"low: (0, 3]"
14,"low: (0, 3]"
15,"low: (0, 3]"
16,"low: (0, 3]"
17,"low: (0, 3]"
18,"low: (0, 3]"
19,"normal: (3, 26]"
20,"low: (0, 3]"
21,"low: (0, 3]"
22,"low: (0, 3]"
23,"low: (0, 3]"
24,"low: (0, 3]"
25,"low: (0, 3]"
26,"low: (0, 3]"
27,"low: (0, 3]"
28,"low: (0, 3]"
29,"low: (0, 3]"
30,"low: (0, 3]"
31,"low: (0, 3]"
32,"low: (0, 3]"
33,"low: (0, 3]"
34,"low: (0, 3]"
35,"low: (0, 3]"
36,"normal: (3, 26]"
37,"low: (0, 3]"
38,"low: (0, 3]"
39,"low: (0, 3]"
40,"low: (0, 3]"
41,"low: (0, 3]"
42,"low: (0, 3]"
43,"low: (0, 3]"
44,"low: (0, 3]"
45,"low: (0, 3]"
46,"low: (0, 3]"
47,"normal: (3, 26]"
48,"low: (0, 3]"
49,"low: (0, 3]"
50,"low: (0, 3]"
51,"low: (0, 3]"
52,"low: (0, 3]"
53,"low: (0, 3]"
54,"low: (0, 3]"
55,"low: (0, 3]"
56,"low: (0, 3]"
57,"low: (0, 3]"
58,"low: (0, 3]"
59,"low: (0, 3]"
60,"low: (0, 3]"
61,"low: (0, 3]"
62,"low: (0, 3]"
63,"low: (0, 3]"
64,"low: (0, 3]"
65,"low: (0, 3]"
66,"low: (0, 3]"
67,"low: (0, 3]"
68,"low: (0, 3]"
69,"low: (0, 3]"
70,"low: (0, 3]"
71,"low: (0, 3]"
72,"normal: (3, 26]"
73,"normal: (3, 26]"
74,"normal: (3, 26]"
75,"low: (0, 3]"
76,"low: (0, 3]"
77,"low: (0, 3]"
78,"low: (0, 3]"
79,"low: (0, 3]"
80,"low: (0, 3]"
81,"normal: (3, 26]"
82,"low: (0, 3]"
83,"low: (0, 3]"
84,"low: (0, 3]"
85,"low: (0, 3]"
86,"low: (0, 3]"
87,"low: (0, 3]"
88,"low: (0, 3]"
89,"low: (0, 3]"
90,"low: (0, 3]"
91,"low: (0, 3]"
92,"low: (0, 3]"
93,"low: (0, 3]"
94,"low: (0, 3]"
95,"low: (0, 3]"
96,"low: (0, 3]"
97,"low: (0, 3]"
98,"low: (0, 3]"
99,"low: (0, 3]"
100,"low: (0, 3]"
101,"normal: (3, 26]"
102,"low: (0, 3]"
103,"low: (0, 3]"
104,"high: (26, 233]"
105,"high: (26, 233]"
106,"low: (0, 3]"
107,"low: (0, 3]"
108,"low: (0, 3]"
109,"low: (0, 3]"
