,text,description,age
132,"Thoreau for our times.

March/April = Walden
May = Resistance to Civil Government

#literature #us #coronavirus… https://t.co/HmFwY7iWFe","Principal, California Strategies - Public affairs - Reformed journalist | Ashtanga - Surf - Climb | Notre Dame - UW - Mizzou | Way back Tweets to 2007 @sjcahn",13
192,RT @Wahlbonkers: Donnie #MuchNeeded #Quarantine 💊❤️ https://t.co/r1KqC87yTn,"@donniewahlberg has my heart: l have POWERFUL MOTIVES, KIND HEART, FIERCE MIND, BRAVE SPIRITS. #BHLove #LoveEternal ❤️NKOTB❤️ Since 1986 to present",34
203,New video on my channel! Please visit https://t.co/iOqAka93h5 or Quarantine Paint by Numbers: Monkey - Day 4… https://t.co/VeyhdvbKzo,I’m a social media addict and I make vlogs on YouTube. I never know what to write in a bio. 🦄,12
208,"CLICK HERE to see how one man and his sex-doll bride-to-be are riding out #quarantine. 
https://t.co/ggZA4mvj1X","Political and cultural criticism, satire, and salvos. Since 1988. Online and in print.",32
255,"RT @shefali_bagga: Which one is your favourite game? 😍😋Comment and tell me and Tag your player friends/cousins. 
Ab sab pubg mat kehne lag…","Advocate at The High Court of Judicature at Allahabad❤️❤️❤️❤️❤️
https://www.instagram.com/kkmishraofficial/
https://www.facebook.com/KuldeepKumarMishraOfficial/",33
282,While we are at home I just released that my iPhone screen time was 100% up from last week #Quarantine 😂😂😂😂,,24
302,While we are at home I just released that my iPhone screen time was 100% up from last week #Quarantine #Covid_19 😂😂😂😂,,24
340,"RT @wevegan: #SundayThoughts
If you spent most of your childhood alone like me, you are probably pretty comfortable with yourself and are r…","Machiya Arakawa-ku Tokyo Japan/
Teacher License holder/born 14-5-1973/
1973年5月14日生誕/琉球大学卒/教員免許保持/東京都荒川区町屋在住/沖縄県出身/元民主党員/国家主義者お断り。",47
520,"The more you spending time with sibling in #Quarantine more you people are exposing towards each other.
😁😁😁😁😁😁",Does not Matter.,13
548,"Day 2 of posting Chicago Auto Show pictures in quarantine: Wheel view of the Porsche Taycan!

#Porsche #Quarantine… https://t.co/YaL6PQqczF",Automotive and classic car enthusiast. Dream car is a signal red 1987 Mercedes 560 SL.,33
659,"RT @HolyCannoli86: What is with these ignorant motherf__kers! First ice cream, now THIS?! I hope he gets arrested! What a douche! #challeng…","MAGA, MCGA, 🇺🇸 🇨🇦 I follow all patriots",12
662,Ukraine lifts ban on sale and rent of cars during quarantine https://t.co/VZy90CNOsG #Politics… https://t.co/JxLnn9YLKw,"Breaking world news, latest headlines and stories from POST Online Media. With you since 2008. http://poandpo.com",12
727,"In these #quarantine times caused by #covid19, we try to enjoy a little more, us and our couple. Take a look at… https://t.co/jR6g18hEZK","Camgirls: https://www.xlovecam.com/prm03/textlink?id_affilie=18126&p=online
Camboys: https://www.xlovegay.com/prm03/textlink?id_affilie=18126&cat=7&p=online",40
749,RT @hello_lee_hi: Check this now on YouTube #quarantine #homealone 🦋 https://t.co/PrvrWKL58k,{fan account} 🇮🇩 || swiftie since 2008 || i'm here mainly only for  @taylorswift13 ❣️,12
818,RT @hello_lee_hi: Check this now on YouTube #quarantine #homealone 🦋 https://t.co/PrvrWKL58k,"My Twitter. My thoughts. My feelings.
💛♥♠❤
SECHSKIES👑 
BIGBANG👑
2NE1👑 
EXO👑
WINNER💙
AKMU
❤❤❤Ji Chang Wook's Wife❤❤❤
0T6
0T5
0T4
0T12
0T5",14
827,RT @hello_lee_hi: Check this now on YouTube #quarantine #homealone 🦋 https://t.co/PrvrWKL58k,（RP ; 1996） a petite woman named 이하이 who can soothe everyone's heart whenever she starts singing with her unique and powerful vocal 。#YGSQFams pt.3479,24
889,Proud of this one today clairelou_84 . Out delivering Sunday lunch to those in #selfisolation #quarantine #covid https://t.co/WtR9TJ88g3,Stuff. All views mostly my own. Care Group Manager for Surgery - University Hospital Southampton NHS FT,42
949,"RT @HolyCannoli86: What is with these ignorant motherf__kers! First ice cream, now THIS?! I hope he gets arrested! What a douche! #challeng…","MAGA!!!
Selfless, Dutiful, Hardworking, Honest, Faithful, Single, & Hardworking. 
This’s my 3rd account, I always end up being suspended for saying the truth.",57
969,RT @RobertoBolle: Sunday smile. With beard 🧔🏻 #quarantine #buonadomenica https://t.co/YYchSQkmYx,Trova quello che fa sorridere il tuo  Cuore...,41
1045,"Hey @Bhuvan_Bam 
Is there any mistakes?
Please check. #bb
#BhuvanBam #bbkivines 
#Quarantine #StaySafe… https://t.co/AZDVZRsoXo",student and youtuber.,21
1062,"RT @Souravhati1999: Hey @Bhuvan_Bam 
Is there any mistakes?
Please check. #bb
#BhuvanBam #bbkivines 
#Quarantine #StaySafe 
#StayAtHomeAndS…",student and youtuber.,21
1093,"RT @DavidMora: Please welcome the newest parish! 
😂🤣 📷 credit: Darrell Landry 

#BayouSelf #OnlyLouisiana #Quarantine https://t.co/wZ5j1LZr…",Walking through life with a smile on my face sharing his sweet Grace #PeaceLoveHappiness,38
1103,#MeeraMithun in full form sex mode #Quarantine https://t.co/rMLiHSlC07,THALA #அஜித் veriyan❤️,28
1109,Aw wonderful I love Mary Poppins too Xx,I’ve been a massive @elaine_paige Super Fan since 2005. Love all things musical theatre. I’m a Christian and love life. Met Elaine on 25/07/19,15
1429,"RT @fyous_n_tattoos: 😍😍😍
I need a haircut so bad ugh. 
#bored #StayHome #Quarantine #RETWEEET #RetweeetPlease #FolloMe #sexy https://t.co/t…",,19
1432,RT @pursuedbytruth: I don’t know about you all but my heart is heavy today and I needed this. ❤️,Twitter novice. Hater of the Bergoglian  heresies and the compliant bishops and cardinals. Going Bollywood since 2004.,16
1443,Ukraine lifts ban on sale and rent of cars during quarantine https://t.co/VZy90CNOsG #Politics… https://t.co/GuwOC1jrtj,"Breaking world news, latest headlines and stories from POST Online Media. With you since 2008. http://poandpo.com",12
1445,"#quarantine #Spain #horses
🙁 Today would have been our April's open day. Meet our animals and enjoy the mood of our… https://t.co/QDRqVkwOw6","Founded in 2008 by Sue and Rod Weeding, our non-profit rescue centre saves neglected and abused horses, ponies and donkeys across Spain's Costa Blanca region.",12
1472,Crustiness on level 💯#Quarantine https://t.co/I0IJtKe3p5,"model
Fashion designer
25
Pretoria 📍
IG:Mandeangela",23
1899,"RT @YeardleySmith: It’s #SimpsonsSunday ! 
Before the 💩 hit the fan w/ the #coronavirus I was in Portland doing a movie &amp; I found out there…","🇲🇽Dodgers,Packers,Lakers,America Fan!!!",40
1913,"RT @MAJTOURE: #SolutionarySidebar

So we’re clear. 

Locking in SICK people is #quarantine.

Locking in HEALTHY people is control.

#ByTheW…",,43
1999,RT @puneetone: It can change your life. Loving it. #HEARTFULNESS,"ADVOCATE, HIGH COURT OF MADHYA PRADESH, PRINCIPAL SEAT AT JABALPUR (MADHYA PRADESH) +919826143925",38
2025,So we all know on Resurrection Sunday all Black churches rock Celebrate...He Lives by #FredHammond and Don't Cry by… https://t.co/P3pCyoafqp,"Child of God, Wife, Mother, Playwright. Working to make a difference in this world!",31
