,_id,owner_username,caption,age_group
0,5eac29a5626d2d43e14596f2,ch.giama,athens athens greece🇬🇷 greece instaphotography instaphoto spring instapic photography photos happy newyork ny usa smile smiling instaphotoshoot instame 2020 happy instagood picoftheday besafe photooftheday april stayhome staysafe quarantine,young_in_heart
1,5eac29e1626d2d43e14596f3,scarlettarpasova,bon apetit 😊  i am fine with staying at home  only thing i miss is travelling  my friends and my family  i am staying positive  nothing lasts forever  😷       stayhome stayhealthy quarantinelife quarantine staypositive italy🇮🇹 italia capri italianfood pizza healthyfood sarcasm holiday vacation vacationmode travel travelgram traveling timetravel  nomakeup messyhairdontcare messyhair lifestyle brunette homemade dress fashion style,young
2,5eac2a12626d2d43e14596f4,smokesignalz_ent,waste of time rmx💨🔥🔥 produced by kyu dawg  close your eyes and meditate🤫        marijuana 2020 newyear  virus rasta life future toronto drake music blackman boredinthehouse marijuana ganja the6ix reggaemusic power newyorkhiphop rocnation quarantine torontomusic worldstarhiphop hiphop  life upnext nurses healthylifestyle  bestsong  musicvideo hiphopcanada,young_in_heart
3,5eac38a6c0a76efd7a48ce0d,cct_express,original and exclusive printed t-shirts  original designs  100% cotton  we have unique t-shirts and products with custom printing  • 100% combed and ring-spun cotton • fabric weight: 4 2 oz  142 g   m2  • preshrunk fabric • shoulder to shoulder strap  tshirt quarantine pandemic shirt covid birtdaygift tshirtgift shoppingonline etsy unisex style clothing summer summertshirt self quarantineguide medical stayhome sleep drink smoke repeat washyourhands coveryourmouth takeyourtemperature white blue grey black,young_in_heart
4,5eac38d3c0a76efd7a48ce0e,_jismi_jizz_,a shelf with carbords      art artwork artist quarantinelife quarantine,young_in_heart
5,5eac3910c0a76efd7a48ce0f,hristova_viktoria,its time to     🍬🍊🍋🌏 🍬 🍊 🍋 🍬 🍊 🍋 🍋makeup makewithlove makeupbyme cutcrease inlove mya mywork happy candy limon orange new quarantine covıd19 idkhow bulgaria,young_in_heart
6,5eac3a0fc0a76efd7a48ce11,fede_costa7,welcome may spring day quarantine home me,young_in_heart
7,5eac3a49c0a76efd7a48ce12,lexi.mac.writes,poorgrammar poetry poetrycommunity lonely depression bipolar writer writing poem poems dark darkart abyss typos words writersofinstagram  bleeding love alone  wordporn poetryporn poetryisnotdead california quarantine isolation thoughts dangerous 2020,young_in_heart
8,5eac3b61c0a76efd7a48ce13,stylesecretsbyjineesha,not a makeup person at all but this quarantine made me do such things too and yes i created this look it wasn’t planned just it was going on and on      nothing inspiring 💄🆒     makeuplooks makeupaddict quarantineandchill quarantine drugstoremakeup beautybloggers indianmakeupartist indoremakeupartist mumbaimakeupartist delhimakeupartist dubaimakeupartist londonmakeupartist beautyhacks editorial fashionblogger styleblogger retrostyle retromakeuplook ootdfashion ootd trendingnow instamood igaddict staybeautiful💋,young_in_heart
9,5eac3be7c0a76efd7a48ce14,ripon.house1887,almost time for wine i got through my supermarket trip earlier  just   i decided rather than walking to our local one as i have done for 6 weeks  i would take my car to a bigger one to have more choice and be able to get more but it was awful  it was pretty quick to get in but once i was inside  it was way too busy which made it impossible to keep apart from the supermarket staff let alone the other people  i actually felt very anxious to be around so many people and i spent a fortune  i wont be doing that again but at least we will be very well stocked for a while  i even treated myself to these flowers   this afternoon i managed to move the ladders on the bunk beds by myself  with actual tools and stuff  so the room is finally finished  the star wars sheets arrived too so they have been washed and tumbled  ready for using tonight  the sheets are pretty bright and not very insta friendly but my boys really love them and that is the important thing  this afternoon we are hunkered down watching a film  it has been a long week but happy that we are all happy  safe and well  i hope you are too  periodhomesofinsta riponhouselife oldtownliving victorianhouselife victorianhome periodproperty realperiodhome periodstyle periodliving flowers quarantine weekend,young_in_heart
